_id_x,lat,long,id_x,nombre_x,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,estado,validoorig,valororig,pronostico
5cccf5bee2705c193282060a,20.50897222,-97.44698611,291,Universidad Veracruzana,PR-03,120,5cccec47e2705c1932606fd6,Poza Rica,2018-01-30T00:00:00.000Z,291,1/30/18,0,291O318013000,O3,Veracruz,1,0.0256,1.140925
5cccf5bee2705c193282060b,20.08525,-98.36663889,292,Tulancingo,TLN,121,5cccec4fe2705c19326154ab,Tulancingo,2018-01-30T00:00:00.000Z,292,1/30/18,0,292O318013000,O3,Hidalgo,1,0.037884306,1.15625
5cccf5bee2705c193282060e,17.09466667,-96.75216667,297,Casa Hogar,CHO,73,5cccec55e2705c1932620ecb,Oaxaca,2018-01-30T00:00:00.000Z,297,1/30/18,0,297O318013000,O3,Oaxaca,1,0.0371,1.292675
5cccf5bee2705c193282060f,19.19916667,-99.01083333,299,Milpa Alta,MPA,119,5cccec58e2705c1932627a93,Valle de Mexico,2018-01-30T00:00:00.000Z,299,1/30/18,0,299O318013000,O3,Ciudad de Mexico,1,0.027,1.63635
5cccf5bee2705c1932820610,19.37166667,-99.15916667,300,Benito Juarez,BJU,119,5cccec5ce2705c193262eca7,Valle de Mexico,2018-01-30T00:00:00.000Z,300,1/30/18,0,300O318013000,O3,Ciudad de Mexico,1,0.035,2.0705
5cccf5bee2705c1932820611,19.29222222,-99.38055556,301,Instituto Nacional de Investigaciones Nucleares,INN,119,5cccec61e2705c1932637f33,Valle de Mexico,2018-01-30T00:00:00.000Z,301,1/30/18,0,301O318013000,O3,Ciudad de Mexico,1,0.035,2.088025
5cccf5bee2705c1932820613,21.903,-102.2846111,303,Instituto Educativo,IED,30,5cccec68e2705c1932644abd,Aguascalientes,2018-01-30T00:00:00.000Z,303,1/30/18,0,303O318013000,O3,Aguascalientes,1,0.010681,1.9204175
5cccf5bee2705c1932820614,25.42147222,-100.9968611,304,Finanzas,FIN,123,5cccec6de2705c193264e099,Saltillo,2018-01-30T00:00:00.000Z,304,1/30/18,0,304O318013000,O3,Coahuila,1,0.01705,1.49469
5cccf5bee2705c1932820615,26.90819444,-101.427,305,Jurisdiccion Sanitaria,JUR,124,5cccec73e2705c193265a46f,Monclova,2018-01-30T00:00:00.000Z,305,1/30/18,0,305O318013000,O3,Coahuila,1,0.017034,0.94447
5cccf5bee2705c1932820616,28.70766667,-100.5265,306,Centro de Rehabilitacion DIF,DIF,125,5cccec79e2705c1932666e9c,Piedras Negras,2018-01-30T00:00:00.000Z,306,1/30/18,0,306O318013000,O3,Coahuila,1,0.003773,0.76405
5cccf5bee2705c1932820632,25.73,-100.3097222,425,Universidad,N2,72,5ccceca4e2705c19326bb6f8,Monterrey,2018-01-30T00:00:00.000Z,425,1/30/18,0,425O318013000,O3,Nuevo Leon,1,0.031,0.71878
