_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,city,date,estacionesid,fecha,hora,id_y,parametro,state,validoorig,valororig
5cccf5bee2705c1932820600,19.533055555556,-99.030555555556,260,San Agustín,SAG,119,5cccec0de2705c193259d06d,Valle de México,2018-01-30T00:00:00.000Z,260,2018-01-30,0,260O318013000,O3,Ciudad de México,1,0.038
5cccf5bee2705c1932820601,19.3575,-99.263055555556,262,Santa Fe,SFE,119,5cccec13e2705c19325a8304,Valle de México,2018-01-30T00:00:00.000Z,262,2018-01-30,0,262O318013000,O3,Ciudad de México,1,0.037
5cccf5bee2705c1932820602,19.404,-99.202722222222,263,Miguel Hidalgo,MGH,119,5cccec1ae2705c19325b4215,Valle de México,2018-01-30T00:00:00.000Z,263,2018-01-30,0,263O318013000,O3,Ciudad de México,1,0.028
5cccf5bee2705c1932820603,19.246666666667,-99.010833333333,265,Tlahuac,TAH,119,5cccec20e2705c19325bea33,Valle de México,2018-01-30T00:00:00.000Z,265,2018-01-30,0,265O318013000,O3,Ciudad de México,1,0.029
5cccf5bee2705c1932820604,19.529166666667,-99.204722222222,266,Tlalnepantla,TLA,119,5cccec25e2705c19325c70b2,Valle de México,2018-01-30T00:00:00.000Z,266,2018-01-30,0,266O318013000,O3,Ciudad de México,1,0.023
5cccf5bee2705c1932820606,19.360833333333,-99.073888888889,268,UAM Iztapalapa,UIZ,119,5cccec30e2705c19325da64e,Valle de México,2018-01-30T00:00:00.000Z,268,2018-01-30,0,268O318013000,O3,Ciudad de México,1,0.034
5cccf5bee2705c1932820607,19.304444444444,-99.103888888889,269,UAM Xochimilco,UAX,119,5cccec36e2705c19325e5875,Valle de México,2018-01-30T00:00:00.000Z,269,2018-01-30,0,269O318013000,O3,Ciudad de México,1,0.027
5cccf5bee2705c1932820608,19.6575,-99.096666666667,270,Villa de las Flores,VIF,119,5cccec3ce2705c19325f020a,Valle de México,2018-01-30T00:00:00.000Z,270,2018-01-30,0,270O318013000,O3,Ciudad de México,1,0.028
5cccf5bee2705c1932820609,19.526111111111,-99.0825,271,Xalostoc,XAL,119,5cccec41e2705c19325fa621,Valle de México,2018-01-30T00:00:00.000Z,271,2018-01-30,0,271O318013000,O3,Ciudad de México,1,0.035
5cccf5bee2705c193282060a,20.508972222222,-97.446986111111,291,Universidad Veracruzana,PR-03,120,5cccec47e2705c1932606fd6,Poza Rica,2018-01-30T00:00:00.000Z,291,2018-01-30,0,291O318013000,O3,Veracruz,1,0.0256
5cccf5bee2705c193282060b,20.08525,-98.366638888889,292,Tulancingo,TLN,121,5cccec4fe2705c19326154ab,Tulancingo,2018-01-30T00:00:00.000Z,292,2018-01-30,0,292O318013000,O3,Hidalgo,1,0.0378843055555556
5cccf5bee2705c193282060e,17.094666666667,-96.752166666667,297,Casa Hogar,CHO,73,5cccec55e2705c1932620ecb,Oaxaca,2018-01-30T00:00:00.000Z,297,2018-01-30,0,297O318013000,O3,Oaxaca,1,0.0371
5cccf5bee2705c193282060f,19.199166666667,-99.010833333333,299,Milpa Alta,MPA,119,5cccec58e2705c1932627a93,Valle de México,2018-01-30T00:00:00.000Z,299,2018-01-30,0,299O318013000,O3,Ciudad de México,1,0.027
5cccf5bee2705c1932820610,19.371666666667,-99.159166666667,300,Benito Juárez,BJU,119,5cccec5ce2705c193262eca7,Valle de México,2018-01-30T00:00:00.000Z,300,2018-01-30,0,300O318013000,O3,Ciudad de México,1,0.035
5cccf5bee2705c1932820611,19.292222222222,-99.380555555556,301,Instituto Nacional de Investigaciones Nucleares,INN,119,5cccec61e2705c1932637f33,Valle de México,2018-01-30T00:00:00.000Z,301,2018-01-30,0,301O318013000,O3,Ciudad de México,1,0.035
5cccf5bee2705c1932820613,21.903,-102.28461111111,303,Instituto Educativo,IED,30,5cccec68e2705c1932644abd,Aguascalientes,2018-01-30T00:00:00.000Z,303,2018-01-30,0,303O318013000,O3,Aguascalientes,1,0.010681
5cccf5bee2705c1932820614,25.421472222222,-100.99686111111,304,Finanzas,FIN,123,5cccec6de2705c193264e099,Saltillo,2018-01-30T00:00:00.000Z,304,2018-01-30,0,304O318013000,O3,Coahuila,1,0.01705
5cccf5bee2705c1932820615,26.908194444444,-101.427,305,Jurisdicción Sanitaria,JUR,124,5cccec73e2705c193265a46f,Monclova,2018-01-30T00:00:00.000Z,305,2018-01-30,0,305O318013000,O3,Coahuila,1,0.017034
5cccf5bee2705c1932820616,28.707666666667,-100.5265,306,Centro de Rehabilitación DIF,DIF,125,5cccec79e2705c1932666e9c,Piedras Negras,2018-01-30T00:00:00.000Z,306,2018-01-30,0,306O318013000,O3,Coahuila,1,0.0037730000000000003
5cccf5bee2705c1932820632,25.73,-100.30972222222,425,Universidad,N2,72,5ccceca4e2705c19326bb6f8,Monterrey,2018-01-30T00:00:00.000Z,425,2018-01-30,0,425O318013000,O3,Nuevo León,1,0.031
