_id_x,lat,long,id_x,nombre,codigo,redesid,_id_y,date,validoorig,city,estado,valororig,parametro,estacionesid,id_y,hora,fecha
5cccf5bee2705c19328205f8,19.41166667,-99.15222222,251,Hospital General de Mexico,HGM,119,5cccebe6e2705c1932557c89,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,14,PM10,251,251PM1018013000,0,1/30/18
5cccf5bee2705c19328205f9,19.38444444,-99.11777778,252,Iztacalco,IZT,119,5cccebebe2705c1932562ce9,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,18,PM10,252,252PM1018013000,0,1/30/18
5cccf5bee2705c19328205fc,19.42472222,-99.11972222,256,Merced,MER,119,5cccebf8e2705c1932577aef,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,14,PM10,256,256PM1018013000,0,1/30/18
5cccf5bee2705c1932820600,19.53305556,-99.03055556,260,San Agustin,SAG,119,5cccec0ee2705c193259ecb7,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,18,PM10,260,260PM1018013000,0,1/30/18
5cccf5bee2705c1932820601,19.3575,-99.26305556,262,Santa Fe,SFE,119,5cccec14e2705c19325a9f0d,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,20,PM10,262,262PM1018013000,0,1/30/18
5cccf5bee2705c1932820602,19.404,-99.20272222,263,Miguel Hidalgo,MGH,119,5cccec1be2705c19325b5e4f,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,14,PM10,263,263PM1018013000,0,1/30/18
5cccf5bee2705c1932820604,19.52916667,-99.20472222,266,Tlalnepantla,TLA,119,5cccec26e2705c19325c8c35,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,26,PM10,266,266PM1018013000,0,1/30/18
5cccf5bee2705c1932820609,19.52611111,-99.0825,271,Xalostoc,XAL,119,5cccec41e2705c19325fc298,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,22,PM10,271,271PM1018013000,0,1/30/18
5cccf5bee2705c193282060a,20.50897222,-97.44698611,291,Universidad Veracruzana,PR-03,120,5cccec48e2705c1932608e4b,2018-01-30T00:00:00.000Z,1,Poza Rica,Veracruz,20,PM10,291,291PM1018013000,0,1/30/18
5cccf5bee2705c193282060b,20.08525,-98.36663889,292,Tulancingo,TLN,121,5cccec50e2705c1932617705,2018-01-30T00:00:00.000Z,1,Tulancingo,Hidalgo,14.82866667,PM10,292,292PM1018013000,0,1/30/18
5cccf5bee2705c193282060e,17.09466667,-96.75216667,297,Casa Hogar,CHO,73,5cccec55e2705c19326220ad,2018-01-30T00:00:00.000Z,1,Oaxaca,Oaxaca,30,PM10,297,297PM1018013000,0,1/30/18
5cccf5bee2705c193282060f,19.19916667,-99.01083333,299,Milpa Alta,MPA,119,5cccec59e2705c1932629218,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,12,PM10,299,299PM1018013000,0,1/30/18
5cccf5bee2705c1932820610,19.37166667,-99.15916667,300,Benito Juarez,BJU,119,5cccec5de2705c1932630b95,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,17,PM10,300,300PM1018013000,0,1/30/18
5cccf5bee2705c1932820611,19.29222222,-99.38055556,301,Instituto Nacional de Investigaciones Nucleares,INN,119,5cccec62e2705c1932639835,2018-01-30T00:00:00.000Z,1,Valle de Mexico,Ciudad de Mexico,3,PM10,301,301PM1018013000,0,1/30/18
5cccf5bee2705c1932820613,21.903,-102.2846111,303,Instituto Educativo,IED,30,5cccec69e2705c1932645cf0,2018-01-30T00:00:00.000Z,1,Aguascalientes,Aguascalientes,44.116,PM10,303,303PM1018013000,0,1/30/18
5cccf5bee2705c1932820614,25.42147222,-100.9968611,304,Finanzas,FIN,123,5cccec6ee2705c193264f99e,2018-01-30T00:00:00.000Z,1,Saltillo,Coahuila,28.549,PM10,304,304PM1018013000,0,1/30/18
5cccf5bee2705c1932820615,26.90819444,-101.427,305,Jurisdiccion Sanitaria,JUR,124,5cccec74e2705c193265bc26,2018-01-30T00:00:00.000Z,1,Monclova,Coahuila,9.7311,PM10,305,305PM1018013000,0,1/30/18
5cccf5bee2705c1932820616,28.70766667,-100.5265,306,Centro de Rehabilitacion DIF,DIF,125,5cccec7ae2705c1932668e38,2018-01-30T00:00:00.000Z,1,Piedras Negras,Coahuila,67.982,PM10,306,306PM1018013000,0,1/30/18
5cccf5bee2705c1932820632,25.73,-100.3097222,425,Universidad,N2,72,5ccceca5e2705c19326bd149,2018-01-30T00:00:00.000Z,1,Monterrey,Nuevo Leon,21,PM10,425,425PM1018013000,0,1/30/18
